Material Group,Material,Unitmass,Vehicle,Class,Component,Materialtype,Vehiclemass,Part
Material Group,,,hmax,Seavessels,Handymax,,11044000,
Ferrous metals,Steel,8.14922E-03,hmax,Seavessels,Machinery piping,Ferrous Metals,90000,
Ferrous metals,Steel,1.35820E-03,hmax,Seavessels,Tools and Spares,Ferrous Metals,15000,
Ferrous metals,Steel,2.53531E-03,hmax,Seavessels,Shafts,Ferrous Metals,28000,
Ferrous metals,Steel,6.79102E-03,hmax,Seavessels,Machinery comp,Ferrous Metals,75000,
Ferrous metals,Steel,7.96813E-02,hmax,Seavessels,Hatches,Ferrous Metals,880000,
Ferrous metals,Steel,4.98008E-03,hmax,Seavessels,Outfit For,Ferrous Metals,55000,
Ferrous metals,Steel,2.26367E-03,hmax,Seavessels,Outfit Mid,Ferrous Metals,25000,
Ferrous metals,Steel,2.26367E-03,hmax,Seavessels,Outfit Aft,Ferrous Metals,25000,
Ferrous metals,Steel,7.65212E-01,hmax,Seavessels,Steel hull elements,Ferrous Metals,8451000,
Ferrous metals,Steel,-1.84625E-02,hmax,Seavessels,Tol and Marg,Ferrous Metals,-203900,
Nonferrous metals,Copper,4.52735E-04,hmax,Seavessels,Machinery piping,Nonferrous Metals,5000,
Nonferrous metals,Copper,1.13184E-03,hmax,Seavessels,Electrical,Nonferrous Metals,12500,
Nonferrous metals,Copper,1.53930E-03,hmax,Seavessels,Propeller,Nonferrous Metals,17000,
Nonferrous metals,Aluminium,1.81094E-04,hmax,Seavessels,Outfit For,Nonferrous Metals,2000,
Nonferrous metals,Aluminium,1.81094E-04,hmax,Seavessels,Outfit Mid,Nonferrous Metals,2000,
Nonferrous metals,Aluminium,1.81094E-04,hmax,Seavessels,Outfit Aft,Nonferrous Metals,2000,
Nonferrous metals,Copper,6.88156E-03,hmax,Seavessels,Paint and Cathodes,Nonferrous Metals,76000,
Material Group,,,hmax,Seavessels,Main Engine,Machinery,220000,
Ferrous metals,Steel,3.44078E-03,hmax,Seavessels,Auxilliary engines,Machinery,38000,
Ferrous metals,Steel,1.03223E-02,hmax,Seavessels,Machinery equip,Machinery,114000,
Ferrous metals,Steel,2.06447E-02,hmax,Seavessels,Cranes,Machinery,228000,
Ferrous metals,Steel,2.71641E-03,hmax,Seavessels,Outfit For,Machinery,30000,
Ferrous metals,Steel,5.43281E-03,hmax,Seavessels,Outfit Aft,Machinery,60000,
Nonferrous metals,Copper,1.13184E-03,hmax,Seavessels,Electrical,Electrical,12500,
Nonferrous metals,Copper,5.43281E-04,hmax,Seavessels,Bridge equipment,Electrical,6000,
Nonferrous metals,Copper,1.23144E-03,hmax,Seavessels,Outfit For,Electrical,13600,
Nonferrous metals,Copper,2.93372E-03,hmax,Seavessels,Outfit Mid,Electrical,32400,
Nonferrous metals,Copper,6.64614E-03,hmax,Seavessels,Outfit Aft,Electrical,73400,
Minerals,Minerals,4.52735E-04,hmax,Seavessels,Machinery comp,Minerals,5000,
Minerals,Minerals,5.97610E-03,hmax,Seavessels,Outfit For,Minerals,66000,
Minerals,Minerals,5.43281E-03,hmax,Seavessels,Outfit Mid,Minerals,60000,
Minerals,Minerals,1.35911E-02,hmax,Seavessels,Outfit Aft,Minerals,150100,
Polymers,Polymers,2.87034E-03,hmax,Seavessels,Outfit For,Plastics,31700,
Polymers,Polymers,2.60775E-03,hmax,Seavessels,Outfit Mid,Plastics,28800,
Polymers,Polymers,6.51938E-03,hmax,Seavessels,Outfit Aft,Plastics,72000,
Organic,Organic,1.47591E-03,hmax,Seavessels,Outfit For,Joinery,16300,
Organic,Organic,3.51322E-03,hmax,Seavessels,Outfit Mid,Joinery,38800,
Organic,Organic,7.97718E-03,hmax,Seavessels,Outfit Aft,Joinery,88100,
Other,Unknown,9.05469E-05,hmax,Seavessels,Machinery equip,Unkown,1000,
Other,Unknown,4.88953E-04,hmax,Seavessels,Outfit For,Unkown,5400,
Other,Unknown,1.16806E-03,hmax,Seavessels,Outfit Mid,Unkown,12900,
Other,Unknown,2.66208E-03,hmax,Seavessels,Outfit Aft,Unkown,29400,
Paint,Paint,4.88953E-03,hmax,Seavessels,Paint and Cathodes,Unkown,54000,
Ferrous metals,Steel,1.73307E-02,hmax,Seavessels,Main Engine,Machinery,191400,Main Engine
Nonferrous metals,Copper,1.73307E-03,hmax,Seavessels,Main Engine,Machinery,19140,Main Engine
Ferrous metals,Chromium steel,8.56574E-04,hmax,Seavessels,Main Engine,Machinery,9460,Main Engine
